ロボット1	最近部屋が汚いよ。掃除しよう。
A君1	まだそんなに汚くないよ
ロボット2	こんなに汚い部屋見たことないよ。
A君2	コンビニに行ったあとに掃除してもいい？
ロボット3	君はそうやっていつも掃除を後回しにしてるだろ！
A君3	僕は掃除が嫌いなんだよ。
ロボット4	部屋が汚すぎて、このままじゃ友達も呼べないじゃないか。
A君4	僕はこの部屋を汚いとは思わない。
ロボット5	こんなひどく汚い部屋、もう僕は我慢できない！
A君5	ちょっと汚れてるくらいだろ。
ロボット6	きれいにしたほうが気持ちいいじゃないか。
A君6	うるさいな、じゃあ少しずつなら掃除しても良いよ。
ロボット7	少しずつでもいいよ。君が掃除する気になってくれただけでも、僕は嬉しいよ。
A君7	少し手伝ってもらるかな？
ロボット8	少し手伝うけど、自分でもちゃんと掃除してね。
A君8	そうだね。僕もきちんと掃除する。
ロボット9	じゃあきれいになるように掃除を始めよう。
A君9	部屋がきれいになったら、手伝ってくれたお礼をするね。
ロボット10	ありがとう。じゃあさっそく掃除を始めるよ。
A君10	うん。そうだね。掃除しよう。
