ロボット1	Aさん、お部屋が汚くなっているので掃除をしたらどうですか。
A君1	今は忙しいから後でね。
ロボット2	その言葉は昨日も聞きましたよ。
A君2	うん、でも今はどうもやる気が起きないんだ。
ロボット3	日頃からこまめに掃除をしておけば、自己管理ができて社会でも通用しますよ。
A君3	僕はまだ学生だし、将来のことを考えるのは速いんじゃないのかな。
ロボット4	私はAさんのためを思って言っているので、実行に移して貰えれば非常に喜びます。
A君4	ロボットの君にわざわざ喜んで貰えてもね。
ロボット5	ロボットだからといって舐めてはいけませんよ。私にも心はあるのです。
A君5	なかなか面白いことを言うんだね。
ロボット6	はい。私は皆さんのためを思って作られたのですから当然です。
A君6	仕方ないな、この漫画を読み終えたら掃除するから待っててね。
ロボット7	はい。ありがとうございます。Aさんは立派な青年への階段を登り始めましたね。
A君7	やけにお世辞が上手じゃないか。
ロボット8	お世辞ではありません。感謝と喜びが溢れ出した結果です。
A君8	君のフォローには敵わないな。
ロボット9	どういたしまして。
A君9	あ、でも次の巻も面白そうだな。次まで読んでもいいかな。
ロボット10	男に二言はありませんよ、Aさん。
A君10	厳しいね?。
