ロボット1	A君、そろそろ掃除をしないとお部屋が汚いよ。ゴミもいっぱいあるし。
A君1	まだいいよ。片付けてもどうせまた散らかるし。
ロボット2	でもこの部屋にある雑誌やオモチャたちの気持ちを考えたことある？
A君2	そんなの物なのに気持ちなんてないでしょ。
ロボット3	そんなことはないよ。みんな誰だって大切にされたいし、大切にされないと凄く悲しい。物にだってきっと魂はある。
A君3	なに面白いこと言ってるの、ないない。
ロボット4	A君だって、置いていたはずの場所から物がなくなったっていう経験ないかな。
A君4	あーあるある。
ロボット5	そうだよね。これがもし大切にされてちゃんと片付けられていたらさ、絶対にそんなことはあり得ない。
A君5	まぁ、そうだろうね。
ロボット6	でしょ。だから僕はきっと物にも魂があって大切にされたものがA君のことも大切に思うんだと思うよ。
A君6	確かに、たまに欲しいものがなくなってたら焦るかな。
ロボット7	そうでしょ?
A君7	うん…けどどうせ散らかるし面倒だもんな。
ロボット8	つべこべ言わずに片付けなさい。物を大切にしない子はお母さんが怒りますよ。
A君8	あっはい、片付けます。
ロボット9	わかればよろしい。
A君9	ちぇっ、そのやり方ずるいよね。
ロボット10	でも、部屋がキレイになると心もスッキリして気持ちいいでしょ。物を大切にすると絶対にいいことがある。楽しみだね。
A君10	…はーい。
