ロボット1	部屋が散らかりましたので掃除してください。
A君1	散らかってないから掃除しなくて大丈夫。
ロボット2	私の測定によると散らかっています。
A君2	君の測定のことなんて知らない。
ロボット3	それでは困ります。
A君3	困るってどんな風に困るの。
ロボット4	散らかった部屋を片付けてくれないと、私は誤作動を起こしてしまいます。
A君4	はいはいわかった、片付ければいいんでしょ。
ロボット5	ありがとうございます。
A君5	はい、片付いたよ。
ロボット6	まだ床に物が散乱しているのですが。
A君6	文句があるなら君が片付けてよ。
ロボット7	私は部屋の汚れ具合を測定するだけで、片付けは出来ないのです。
A君7	口ばっかりで役立たずなロボットだな。
ロボット8	そんな風に言われると大変な悲しみを感じます。
A君8	ロボットでも悲しみなんて感情があるの？
ロボット9	はい、あまりに悲しむと動かなくなってしまうのです。
A君9	動かなくなるのは困るなー。
ロボット10	そうならないためには部屋の片付けが必要です。
A君10	わかったわかった、きれいにするよ。
ロボット11	ありがとうございます！
