ロボット1	そろそろ掃除をしましょうよ。だいぶお部屋が散らかってきましたよ。
A君1	今度するから今日はいいよ。
ロボット2	もう150回同じ言葉を聞いていますよ。
A君2	母さんみたいな事言わないでよ、そういう言い方はいらっとするよ。
ロボット3	お母さんには会ったことがありませんから、分からない事で責められるのはこちらもいらっとします。
A君3	なら何も言わなければいいじゃない。
ロボット4	いいますよ。部屋が汚いと不健康です。
A君4	別に僕は元気だけど？
ロボット5	ああ、今もAさんの呼吸器系統がむしばまれていくのがわかります。
A君5	ほら、そういう言い方が嫌だって言っているの。
ロボット6	Aさんが病気になってしまうのは嫌です、ずっと一緒に過ごしたいですから。
A君6	仕事がなくなってしまうから？
ロボット7	気の合う話し相手がいなくなってしまうなんて考えられません。
A君7	泣き落そうとしているでしょ。
ロボット8	違います、本当のことですよ。
A君8	そういうことなら、まあ掃除くらいしてもいいかも。
ロボット9	嬉しいです。さあさあ、さっそく掃除に取り掛かりましょうよ。
A君9	面倒だなあ。
ロボット10	ご安心ください。掃除のアドバイスなら私におまかせくださいね。
A君10	心強いよありがとう。
