ロボット1	寝てるんですか？そろそろ起きてください。
A君1	うーん、まだ眠たいんだ。
ロボット2	すごく床が散らかっています。ぼく動きづらいです。
A君2	じゃあ、ロボ君にお掃除任せるよ。
ロボット3	嫌です、僕の仕事じゃないです。自分の部屋は自分で片付けて、気持ちの良い毎日にしてください。
A君3	うーん
ロボット4	動く場所が無くなって、悲しくなってきました。このままじゃ壊れてしまいます。泣きそうです。危ないです。
A君4	ロボってさ、涙出ないけどね。あ、俺、ひどいやつだなぁ。
ロボット5	いいんです、僕はA君が、床の掃除をしてくれると思っています。信じて待ってます。ずっと待ってます。
A君5	わー！！もう！うるさいなぁ。分かったやるよ。
ロボット6	その手には乗りません。やるよと言って、また二度寝ですね。
A君6	お前すごいな、ほんと俺のことわかってるなー
ロボット7	こわれたら、もう一緒に過ごせないですよ。早く床の掃除をしてください。
A君7	さっきまで悲しんでたのに、すげーな、ほんと。
ロボット8	ありがとうございます。はいどうぞ。
A君8	え？掃除機まで持ってこれるの？マジで俺がやらなくてもって思っちゃうけど、ま、ロボ君はしないもんな。掃除は。
ロボット9	その通りです。僕はA君が掃除がこまめに出来るようにお手伝いをしているだけです。
A君9	みたいだね。
ロボット10	それではその、雑誌や服を床から片付けるところから始めましょう。
A君10	ハイハイ、貸して。さて、やるか。。
