ロボット1	ねえねえAくん。この部屋、ちょっととほこりっぽくない？
A君1	そう？
ロボット2	うん。前回掃除機かけたの、いつか覚えてる？
A君2	いや、たぶん、3日前くらいかな？
ロボット3	残念。一週間前だよ。友達が来るからって、その前に掃除してたよね。
A君3	ああ、そうだったね。もうあれから一週間か。早いな。
ロボット4	テレビの上にもほこりが溜まってるね。
A君4	ああ、そう？まあ、吹いとけばなくなるよ。
ロボット5	そういう問題じゃないでしょ。ハウスダストは体にも良くないよ？
A君5	俺そんなヤワじゃないし。大丈夫大丈夫。
ロボット6	僕は意外とヤワなんだよ。
A君6	えっ？
ロボット7	精密機械だから、埃には弱いんだ。細かい部分に入り込んだりするとやっかいでね。
A君7	うう、、、
ロボット8	いまも実は、ちょっとムズムズして、苦しいんだ、、、ゴホ、ゴホッ、、、
A君8	そんな繊細だったの、、、
ロボット9	ああっ、苦しい。ああっ、辛い。ああ、目が、、、
A君9	はいはい、わかったよ！掃除するから！
ロボット10	ありがとう、Aくん！僕のために掃除してくれるなんて、感動だよ。
A君10	まったく、しょうがないなあ。
