ロボット1	そろそろ掃除、しませんか？
A君1	そんな気分じゃない。
ロボット2	またそんなことを言って。
A君2	だって、面倒じゃないか。
ロボット3	こんなに汚い所に、私の主人がいるなんて悲しいです。
A君3	じゃあ、お前が掃除してよ。
ロボット4	それじゃ、あなたの為にならないじゃないですか！
A君4	大体そこまで嘆くほど汚くないだろ。
ロボット5	どこをどう見たらそう思えるんですか。
A君5	まだ生活するのに不便は感じない。
ロボット6	それでも何かと効率は落ちますよ。
A君6	そんな実感ないよ。
ロボット7	散らかっているということは精神状態にも良くありません、心配です。
A君7	いつも通り元気だから大丈夫。
ロボット8	掃除するということは、要らないものを捨てるということですね。
A君8	そうとも言えるだろうな。
ロボット9	きちんと取捨選択する。
A君9	それがどうした？
ロボット10	それが一種の開運方法だという説もあります。
A君10	それで？
ロボット11	目の前に幸運を得るチャンスがあるんですよ。
A君11	掃除のこと？
ロボット12	はい、みすみす逃すんですか？ラッキーがあるかもしれないのに！
A君12	はいはい、やればいいんでしょ、やれば。
