ロボット1	あっ、ここにもゴミが。あっ、そこにもゴミが。あっ、あそこにも。
A君1	そうだね。
ロボット2	そろそろ部屋のそうじをしませんか。部屋がきれいになると、きっと気持ちがいいですよ。
A君2	そうだね。
ロボット3	ね？そうですよ。さぁ、私もお手伝いしますから、そうじを始めましょう。
A君3	そうだね。
ロボット4	さっきから同じ返事ばかり、私の話をきいているんですか。そうじ、そうじをしましょう。
A君4	そうだね。
ロボット5	だから、いい加減にしないと怒りますよ。
A君5	あっ。そうだね。
ロボット6	また同じ答え。さびしいです。
A君6	あっ、そう。
ロボット7	では、私が少し始めてみましょう。ここのごみを拾ってそこのごみも拾って、なんだか楽しくなってきましたよ。ラーララー。
A君7	どうしたの。
ロボット8	やっぱり、部屋がきれいになると気持ちがいいです。
A君8	さっきからうるさいなぁ。
ロボット9	あっ、そこのごみ、捨ててください。ほら早く。
A君9	わかったよ。これを捨てればいいんだろう。
ロボット10	ありがとうございます。さぁ、きれいにしてしまいましょう。
A君10	はいはい。
