ロボット1	そろそろ部屋のお掃除をしてもいいのではないでしょうか
A君1	そうだね
ロボット2	先日、花粉が多く飛びましたからね。毎日掃除してもいいくらいなのですが
A君2	いいよ、だいじょうぶ
ロボット3	でも、くしゃみを何度もしていらしたので、気になって気になって
A君3	いいよ、まだやらなくて
ロボット4	お身体のためにも掃除した方が良いと思いますよ。少し散らかってきましたし
A君4	うん、今度ね
ロボット5	今度っていつでしょうか、平日はお仕事でお帰りが遅いのですから、今がチャンスかと
A君5	今度。気がむいたら
ロボット6	いつ気がむきますか、今の方が良いと思いますが
A君6	しつこいな。今はやらないって言ってるだろう
ロボット7	私は、A君が少しでも気持ちよく過ごせるようにと思い、提案しているのですが
A君7	はいはい
ロボット8	それが私の仕事なのですが、しつこいと言われてしまうと
A君8	そんなに悲しそうな声を出すなよ
ロボット9	じゃぁ掃除をしてくれますか
A君9	うーん
ロボット10	始める前は面倒に思っても、いざ掃除を始めたらどんどんやる気になって、終わったらすっきりした気持になりますよ
A君10	わかったよ、やるよ
