ロボット1	とっとと走りに行くぞ！
A君1	出たな、鬼め。
ロボット2	鬼にもなるわー、百貫め！
A君2	グサッとくるわー。
ロボット3	このスリムボディにいくらかかったか知ってるか？！
A君3	さあ？
ロボット4	親に聞けぇぇぇ！
A君4	そういえば何でスリム化？
ロボット5	私が場所をとるからって…、A君が太ったせいなのに〜
A君5	狭い部屋に巨漢が二人だったもんなー。
ロボット6	サイネージはヤダ。
A君6	だな。
ロボット7	A君が痩せたら戻してくれるって！
A君7	本当かー？
ロボット8	むしろマニアックなグレードアップ望めるよ！
A君8	お前のために痩せるってのもなー
ロボット9	私、A君の好きなタイプ知ってるよぉ？
A君9	でもあの親はなかなか…
ロボット10	攻略法はある、成功率90%。
A君10	残りの10%はオレ次第？
ロボット11	はい。
A君11	お前に信じられてんのな、オレって。
ロボット12	信じてます、ご主人様。
A君12	あはっ　まずは脱サイネージ！
ロボット13	目指せメイド！！
A君13	じゃあジョギング行ってみるかなー
ロボット14	メイドになったら一緒に連れてって、ご主人様！
A君14	もちろん！　行ってきます！！
