ロボット1	A君の日頃の行動を見ていると、運動する機会が少ないよね。
A君1	仕事が忙しいし、疲れて帰宅してから運動するのは事実上難しいよ。
ロボット2	まだ若いからいいけれど、年齢を重ねるにつれ、日頃の運動不足が身体に与える影響は次第に大きくなるよ。
A君2	もともと運動するのはあまり好きじゃないし、身体をハードに動かすのは慣れてないから、仕方ないと思って諦めてる。
ロボット3	諦めるなんて言われると寂しくなるよ。
A君3	申し訳ないけど、運動しようというモチベーションが低いから、よっぽどメリットがない始めようとは思わない。
ロボット4	運動するメリットはいろいろあるよ。
A君4	例えばどんなメリットがあるの？
ロボット5	まずは消費カロリーが増えるから、ダイエットに効果があり、体重が減ったり、身体が引き締まったりする。
A君5	そういえば最近コンビニドーナツの食べ過ぎで、お腹が出てきているような気がする。
ロボット6	血流が良くなって汗もたくさんかくし、デトックス効果も得られて、見た目が若返るよ。
A君6	そういえば会社の新人と比べると、肌つやがまるで違うんだよね。
ロボット7	筋肉もつくから、脂肪燃焼効果も上がって運動を続けることにより、自然と痩せやすい身体に変化してゆく。
A君7	短期的にも長期的にも、結構いろいろなメリットがあるんだね。
ロボット8	どう、やる気が起こってきた？
A君8	そうだなぁ、あまり大変ではなさそうで、わりとすぐに始められる運動でおすすめは何かある？
ロボット9	運動に興味を持ってくれて嬉しいので、早速A君におすすめしたいのだけど、やはりジョギングかな。
A君9	ジョギングってハードなイメージしか持ってないんだけど、なぜおすすめなのか教えてもらえる？
ロボット10	ランウェアとジョギングシューズがあれば、天候にもよるけど基本的にいつでもどこでも行うことができる。
A君10	そういえば昔買って全然着ていないスポーツウェアがクローゼットにあったなぁ。
ロボット11	ジョギングシューズはA君の足型をもとに合うものをセレクトしてあげるよ。
A君11	自分で選ぶのは難しそうだから、特にデザインがかっこいいタイプを頼むよ。
ロボット12	やる気が湧いてきたようで、とっても嬉しいよ。
A君12	運動初心者だから、自分のペースで無理なくスタートできるようサポートをしてもらえると助かる。
ロボット12	もちろん、スケジュールを立てるのは得意なので、A君にぴったりのプランを複数提案してみることにするね。
