ロボット1	天気もいいし、外に出て体を動かしませんか？
A君1	嫌だよ、外は暑くてふらふらするし。
ロボット2	ふらふらするのは、体力が無いからですよ。
A君2	光がまぶしくてめまいがするし。
ロボット3	そんなこと言って、日が傾いたら暗くなるからって断るくせに…。
A君3	う…うるさいなぁ…じゃあ聞くけど体動かすって、何すればいいんだよ？
ロボット4	ジョギングですよ！
A君4	えー？嫌だよ。
ロボット5	全力で走れとは言ってないですよ？
A君5	そう言われたら絶対行かない。
ロボット6	ジョギングなんだから、ゆっくりでいいですって。
A君6	疲れるじゃないか。
ロボット7	適度な疲れは体にいいんですよ。
A君7	…筋肉痛とかなりそうだし…
ロボット8	体力がつくし、慣れれば平気になりますよ。
A君8	やっぱり嫌だ！
ロボット9	…わかりました、そこまで言うなら私が代わりに走ります。
A君9	は？
ロボット10	ロボットの私が必要ないことをやろうとしているのに、人間のあなたは必要なことをやろうとしないなんて…残念です…
A君10	……あー、もうわかったよ、いくよ、いくからそんな目で見るな！
