ロボット1	最近運動不足のようですね。運動を始めてみてはいかがでしょう？
A君1	運動かぁ…面倒くさいなぁ
ロボット2	運動不足になると健康にもよくありませんよ。
A君2	運動は苦手なんだよなぁ…
ロボット3	運動不足になると様々な病気を引き起こします。運動することをお勧めします。
A君3	そう言われてもいまいちやる気が起こらないなぁ
ロボット4	ではまず軽い運動から始めてみては？
A君4	軽い運動って例えば？
ロボット5	ウォーキングなどは体の負担も少なく初心者でも始めやすいと言われています。
A君5	ウォーキングねぇ…
ロボット6	あなたが健康になってくれたら私も嬉しいです。
A君6	本当かい？
ロボット7	もちろんです！あなたが健康になってくれたら私はとても嬉しいです！
A君7	そんなに喜んでくれるならやってみようかな…
ロボット8	その意気です！運動してスリムになれば今よりもっと素敵になれますよ！
A君8	そんな風に言われると俄然やる気になってきたぞ！
ロボット9	やる気になってくれて嬉しいです！
A君9	ありがとう。それじゃあ今からウォーキングに行ってくるよ！
ロボット10	いってらっしゃい！がんばってくださいね！
A君10	ああ頑張るよ。それじゃ行ってきます！
