ロボット1	Aくん、ジョギングに行きましょう。
A君1	大変だから嫌だよ。
ロボット2	でもここ数日動いていないような気がします。
A君2	それはそうだけど運動は嫌いなんだ。
ロボット3	運動不足は体の不調に繋がりますよ？
A君3	面倒臭いからそれでもいいよ別に。
ロボット4	そんな…Aくんが体調を崩したら悲しいです。
A君4	そんなことないだろ。
ロボット5	いいえ、とても悲しくてきっと胸が痛くなります…。
A君5	そんな風に言ってもジョギングはしないよ。
ロボット6	じゃあ他の運動ならしてくれますか？
A君6	他の運動もしんどいから嫌だ。
ロボット7	それであれば尚更ただ走るだけでいいジョギングをしましょう。
A君7	ただ走って一体何になるの？
ロボット8	Aくんの健康が保たれ僕が喜びます。
A君8	でもジョギングにわざわざ外に出るのってやっぱり面倒だし…
ロボット9	Aくん、今日発売の週刊雑誌は読みましたか？
A君9	そういえばまだ読んでない。
ロボット10	なら立ち読みをしにコンビニまでだけ走りませんか？
A君10	コンビニまでだけなら…
ロボット11	本当ですか！？
A君11	そんなに喜ばなくても。
ロボット12	嬉しいです！A君にはいつまでも元気でいて欲しいんです！
A君12	じゃあいってくるよ。
ロボット13	いってらっしゃい、お気を付けて。
A君13	いってきます。
