ロボット1	さぁ、今日も楽しい運動の時間だぞ！
A君1	今日はいいや。
ロボット2	何だと？
A君2	外を見なよ。台風が近づいているんだって。
ロボット3	それがどうした？
A君3	どうしたって、雨も風もすごいじゃない、こんな時に外に出たらどうなると思ってるんだ。
ロボット4	より強い根性を身につけるのだ！
A君4	根性だって！？冗談じゃない、根性つくまえに風邪の細菌がくっついちまうよ。
ロボット5	そんなもの気合いで吹っ飛ばせ！
A君5	病原菌を気合いで吹っ飛ばせたら苦労はないよまったく。
ロボット6	気合いだ、気合いだ、気合いだ！
A君6	このロボット、頭のネジ一本抜けてるんじゃないか？
ロボット7	何だと！？私は正常だ！どこ一つとっても故障なんて
A君7	あっ、ネジ落ちてる
ロボット8	どけっ！ん？なんだこれは。
A君8	きのこの山。
ロボット9	おのれ、どこまで私を馬鹿にするのだ！
A君9	馬鹿になんてしてないよ、ただちょっとおかしいやつだなと思っているだけさ。
ロボット10	それが馬鹿にしているというのだ！
A君10	分かったから、今日は家の中でできる運動しようよ。なんかあるでしょ？
