ロボット1	A君、今日のスケジュールにジョギングを入れました。頑張りましょうね。
A君1	ジョギング？何で急に？
ロボット2	過去二週間のデータから、A君の運動不足が認められたからです。
A君2	二週間だったらまだ大丈夫だよ。
ロボット3	二週間で運動不足を解消しなければ、三週間目のジョギング時間はもっと長くなりますよ。
A君3	でもさ、おかしくない？
ロボット4	何がですか？
A君4	毎日この部屋の5階まで階段で往復してるし、会社でもエレベータを使わないようにしてるんだよ。
ロボット5	そうですね。
A君5	前に運動不足だからって、階段を使うようにアドバイスされたんだよね。十分な運動になってたんじゃないの？
ロボット6	その時は機能していました。
A君6	してた、、、って今は何でしていないのさ。
ロボット7	それはA君が外で食事をする機会が増えたからです。
A君7	あーそういうこと。
ロボット8	そうです。理由が分かったところでジョギングをする気になりましたか？
A君8	うーん、今日は休みだし疲れてるからダラダラしていたいんだよね。
ロボット9	A君、私はあなたの生活をより豊かにするためにいるんですよ。
A君9	それは分かってるよ。
ロボット10	ではなぜ、私を困らせるようなことを言うんですか。
A君10	ただ、今日はジョギングをする気分じゃないってだけなんだけど。
ロボット11	A君がジョギングをしないと、私は悲しい気持ちになるんですよ。
A君11	ロボットに気持ちは無いでしょ。
ロボット12	A君、私を怒らせたいんですか？
A君12	怒らせたくはないけど、怒ったらどうなるの？
ロボット13	A君、私を試しているんですか？
A君13	そうじゃないよ。
ロボット14	では、今日のジョギングをするスケジュールに同意してくれるんですね？
A君14	はいはい。分かりました。
