ロボット1	今日から運動する約束のはずだよね？
A君1	分かってはいるんだけど何だか今日は気が進まないんだよね。
ロボット2	A君の健康状態を考えたら、今からすぐ運動しないとあっという間に成人病予備軍になるって分かってるの？！
A君2	僕の健康状態ってそこまで深刻だったの？
ロボット3	A君の体重は標準体重よりもかなりオーバーしてるんだよ！
A君3	そんな状態だったのか。
ロボット4	今まで通りのおやつを食べるのは、もう無理だね。
A君4	いや、おやつは今まで通り食べたいよ。
ロボット5	僕だってA君とのおやつを食べるのを楽しみにしているんだよ。
A君5	それは僕も同じで君とお喋りしながら、おやつを食べるのは楽しみにしてるよ。
ロボット6	それがもうできなくなると思うと、本当に悲しいよ。
A君6	君とのお喋りはとても面白いのに出来なくなるなんて嫌だよ！
ロボット7	僕たちが食べているおやつって、意外とカロリーが高いんだよね。
A君7	そうだったの？！
ロボット8	大抵のおやつは糖分が多くて、皆は外で遊んだり運動したりしてカロリーを消費しているんだよ。
A君8	僕は運動も外遊びもしないから、カロリーが蓄積されていくだけなんだね。
ロボット9	そうだよ。
A君9	よし、分かった。きちんと摂取カロリー分を消費して来るよ！
ロボット10	え？それじゃあ、もしかして。
A君10	今からきちんと運動して来るから、それからおやつを一緒に食べよう！
