ロボット1	A君、そろそろ運動したら？
A君1	うん。
ロボット2	運動、した方がいいよ？
A君2	うん。
ロボット3	ねえ、聞いてるの！？
A君3	なんでそんなに僕に運動してほしいの？
ロボット4	なんでって、最近太ってきたと思わない？
A君4	ちょっと太っただけじゃん。飲み会多かったからさ。
ロボット5	その飲み会はいつ減るか分からないよね？いつか減るの？
A君5	来年になったら減るよ、今年はまだ1年目だから上司からのお誘いは断れないでしょ。ロボットの君には分からないよ。
ロボット6	確かに僕たちの世界にそんなことはないけど、若い今だからこそ、運動しておかないともう少し歳をとったときに困るよ。
A君6	でもひと口に運動って言ってもお金がかかるジムとかは嫌なんだよね
ロボット7	ジムなんて行かなくても、家でもできるよ！
A君7	筋トレとか？
ロボット8	僕が手伝うよ！
A君8	ほんと？
ロボット9	腹筋や背筋をやる時は足を押さえるし、回数だって数えるし、消費カロリーだって分かるよ！
A君9	そんな能力あるの？知らなかったよ！
ロボット10	早速やってみる？
A君10	やってみよう！
