ロボット1	A君、A君ジョギングしない？
A君1	え？何で？
ロボット2	A君最近家にいてばっかりで運動していないでしょ
A君2	忙しいんだよ
ロボット3	そうだよね、最近とっても忙しそうだね。でもちょっとは運動したほうがいいよ
A君3	できれば少しでも体を休めたいんだって
ロボット4	ずっとだらだらしていると余計に体がしんどくなっちゃうよ
A君4	大丈夫だって。ほっておいて！
ロボット5	そんな！A君の体が心配だから言っているのに！！
A君5	心配してくれるのは嬉しいけど、本当にゆっくりしたいんだ
ロボット6	だったらせめてちょっとストレッチでもしてみたら？きっと体がすっきりするよ。
A君6	ストレッチって何をすればいいの？
ロボット7	両手を上にあげて、体を伸ばすだけでもいいストレッチになるよ
A君7	確かに、背中が凝ってたのかな・気持ちいいね
ロボット8	ストレッチしてくれたんだね！A君が僕の話を聞いてくれて嬉しいな
A君8	じゃあ次はどんなストレッチをすればいいか教えてくれる？
ロボット9	そうだなぁ、肩も凝っているだろうから首を回してみるのがいいと思うよ
A君9	うん、確かに気持ちがいいね
ロボット10	どう？体を動かすと気持ちもすっきりしてこない？
A君10	まあね。ごろごろしているよりも体が楽になるかもしれないね
