ロボット1	A君、一緒に運動しようよ！
A君1	え〜！今は嫌だよ。テレビ見てるし。
ロボット2	じゃあ、そのテレビ見終わったら運動する？
A君2	う〜ん。。。。
ロボット3	何？その返事は？あまり運動したくないみたいだね。
A君3	そんなことないけどさあ。
ロボット4	じゃあ、何？
A君4	ちょっと面倒臭い。
ロボット5	はあ？面倒臭い？
A君5	うん。
ロボット6	何いってるの！運動は健康にもいいし、成長期の君は特に必要なんだよ。
A君6	え〜、でも〜。
ロボット7	え〜、でも〜。じゃないよ！一日中、家でゴロゴロして。身体に悪いよ！さあ、外に出よう！
A君7	え〜。外で運動って言ったて何するんだよ。
ロボット8	近所をランニングとか。
A君8	はあ？ランニング？そんなの嫌だよ。
ロボット9	じゃあ、縄跳びは？
A君9	はあ？それもつまらないよ。
ロボット10	もお、A君は我がままだなあ！
A君10	もっと他にないの？
ロボット1１	う〜ん、そうだなあ。じゃあ、キャッチボールは？
A君1１	う〜ん。
ロボット1２	じゃあ、バドミントン。ほらっ、昔よくやったじゃないか？
A君1２	お！バドミントンかあ〜！そういえば最近やってないなあ。
ロボット1３	だろう？バドミントンやろうよ。きっと楽しいよ。
A君1３	そうだね。バドミントン、久しぶりにやってみようか？
ロボット1４	うん、そうだよ。一緒にやろう。
A君1４	うん、一緒にやろう。
