ロボット1	運動不足のようです。ジョギングをお勧めします。
A君1	いやだよ。疲れる。
ロボット2	ですが、最近の生活では健康的に過ごせないかと思われます。
A君2	ロボットなんだからもっと他の楽に健康でいられる案出してよ。
ロボット3	A君の現在の状態にはジョギングが一番適切かと思われます。
A君3	同じことばかり言わないでよ。
ロボット4	A君は私の提案をいつも否定されるんですね。
A君4	ジョギングしか言わないからさー
ロボット5	私はA君に適切な助言もできないロボットんですね。
A君5	他の助言してよ
ロボット6	私の考えが不適切であるということですね。
A君	なに言ってるの？
ロボット7	私は不良品であるということですね。
A君7	別にそこまで言ってないケド
ロボット8	いいえ。A君に適切な助言ができていないので現在の結果があります。
A君8	まあーそうかもしれないけど
ロボット9	やはり、私はダメなロボットなんですね
A君9	いやいや、そこまではね
ロボット10	今の私にはA君にはジョギングが適切あるとしか提案できないのです。やはりダメなんです
A君10	体を動かすのがいいってことでしょ？
ロボット11	はい。有酸素運動であるジョギングが健康維持には適切です。
A君11	少しくらいなら、走ってもいいかなー
ロボット12	ジョギングして頂けるんですか？
A君12	ちょっとだけだよ。
ロボット13	はい。有効的に走れるコースを検索しておきます。
A君13	短時間で運動できるようにしてよ。
ロボット14	はい。喜んで。お任せ下さい。
