ロボット1	最近運動不足ですね。ジョギングをしましょう。
A君1	めんどくさい。
ロボット2	運動をしないと、太るだけでなく体調不良の原因にもなりますよ。
A君2	走りたい気分じゃないよ。
ロボット3	A君が運動せずに体調不良になったら、私が居る意味がなくなってしまいます。悲しいです。
A君3	人間だしそういうこともあるよ。
ロボット4	運動しないと代謝も下がって、太りやすくなってしまいますよ。
A君4	それは。最近お腹周りが気になるんだよなぁ。
ロボット5	朝計測した通り、体重と脂肪値も少し増えています。
A君5	そうだった。
ロボット6	もっと痩せて女の子にモテたいって言っていましたよね。
A君6	うん、痩せてシュッとすれば俺もそこそこイケてると思うんだけどな。
ロボット7	A君が目標通り痩せて、彼女ができたら私も嬉しいです。
A君7	本当？
ロボット8	もちろん。私はあなたのためのヘルスケアロボットなんですから。
A君8	俺のための。
ロボット9	そうです。ダイエットはまず体力作りから。ジョギングにでかけましょう。
A君9	そうだね、行ってみようかな。
ロボット10	わかっていただけて嬉しいです。いってらっしゃい。
A君10	いってきます！
