ロボット1	そろそろゲーム辞めて頂けませんか？
A君1	もうちょっとだけ
ロボット2	そう言い続けてもう１時間経ちますが
A君2	もうそんなに経ってる？
ロボット3	ええ、私の忠告も３度目です
A君3	久しぶりのゲームなんだから大目に見てよ
ロボット4	そういう訳にはいきません
A君4	このゲームクリアしたらしばらくやらないからさ
ロボット5	そういう問題ではありません
A君5	どういう事？
ロボット6	忠告を５回以上無視すると２度とゲームが出来なくなりますがいいですか？
A君6	なにそのシステム、初めて聞いたけど
ロボット7	あえて言いませんでした
A君7	なんで言ってくれなかったんだよ
ロボット8	ペナルティでの強制より自主的に守って欲しかったからです
A君8	どういう事？
ロボット9	本来の私の仕事は生活習慣のお手伝いで強制するものでは無いからです
A君9	でもペナルティはあるんだろ？
ロボット10	ええ、私にもペナルティがあります
A君10	どんなペナルティ？
ロボット11	生活習慣ロボットとして不適合と判断され再生工場に行く事になります
A君11	なんか可愛そうになってきたからゲーム辞めるよ
