ロボット1	ねぇ、そろそろ他のことをしない？
A君1	えー、今いいところだから邪魔しないで！
ロボット2	でも、もう3時間もゲームしてるよ。
A君2	だって他にすることがないし。
ロボット3	そんなこと言わないで、外で一緒に遊ぼうよ！
A君3	嫌だ。
ロボット4	じゃぁ、僕は何のためにここにいるのさ！！君を変えたいと思ってるんだよ！
A君4	そんなこと言ったって、すぐに変われるわけないじゃん。
ロボット5	すぐには変われなくても、少しずつ変わればいいでしょ？まずはゲームの時間を短くしようよ！
A君5	う~ん。でもさ~。
ロボット6	いつまでも「だって」「でも」とか言ってたら何にも変わらないよ！
A君6	それはそうだけど。
ロボット7	じゃぁ、ゲームはやめよう？
A君7	次のセーブ地点に行ったらね。
ロボット8	それじゃ、意味がないよ！
A君8	だって今やめたら、前のセーブ地点からのデータがもったいないじゃん。
ロボット9	君は変わりたいと思ってるから僕と一緒にいるんでしょ？だったら僕の言う事も聞いてよ！！
A君9	ゲームをやめたら僕は変われるの？
ロボット10	もちろん！だって今までと全く違う行動をするってことでしょ？変われるに決まってるじゃない。
A君10	わかったよ。ゲームは終わりにする。
