ロボット1	A君、そろそろゲームをはじめて、2時間だよ！
A君1	まだ、いいだろ？昨日は、3時間だったじゃないか。
ロボット2	昨日は、『あと１時間』って君が言うからじゃないか。今日は、もうやめよう？
A君2	今、良いところなんだよ！これ、このステージ終わったら！
ロボット3	昨日もそう言ってた！駄目だよ！お母さんに殺されるよ！
A君3	それを言うなら怒られるだろ。
ロボット4	ブレーカー落とされるよ。
A君4	あと少し！！ほら、今、セーブポイントここになくて！
ロボット5	何分くらい？
A君5	ボス倒したら！ボスがサービスしてることを祈っててくれ！
ロボット6	分かったよ・・・祈り方は、どうする？
A君6	は？
ロボット7	世界には、色んな神さまがいるからね。色んな祈り方もあるんだよ。
A君7	ちょ、待って。今手が離せない。
ロボット8	分かったよ。般若心経でいいかい？
A君8	は？
ロボット9	ぶっせつまかはんにゃはらみつたしんぎょう かんじざいぼさ ぎようじん・・
A君9	ちょ！お前止めろよ！！ふざけんな！変なBGM流すな！！ああ！！！くそ、負けた。
ロボット10	ワタシの祈りが通じず、残念です。
A君10	分かったよ。怒んなよ、やめるよ。
