ロボット1	「A君、君は少しゲームを長時間やりすぎじゃないかい？」
A君1	「うーん、そんなことないよ」
ロボット2	「始めてからいままで、もう１時間半も経過しているよ。」
A君2	「えー、そうかー。」
ロボット3	「そうだよ。ゲームは一日一時間までさ！」
A君3	「でも、今日はもう少しゲームをしていたい気分なんだ。ここでやめるときりが悪いし・・」
ロボット4	「そうやって君は昨日も3時間もゲームをしていたじゃないか。僕のいる意味がまるでないよ」
A君4	「そっ、そんなこと言うなよ」
ロボット5	「だってそうだろう？僕は君の生活を改善するためだけに存在しているんだ。君のゲームも止められないようじゃあ存在する意味がない」
A君5	「ごっ、ごめん。きみは僕の大切な友達だよ？」
ロボット6	「そう言ってくれるのはうれしいけれど・・・」
A君6	「わかったわかった、もうゲームはやめるよ」
ロボット7	「ほんとかい？」
A君7	「ああ、でも、このダンジョンが終わってから・・・」
ロボット8	「君はもうまったく、仕方がないやつだなあ」
A君8	「そういうなって、はい、終わった！ゲーム終わり！」
ロボット9	「ありがとう」
A君9	「別にお礼を言われるようなことなんてしてないよ」
ロボット10	「僕のこと友達って言ってくれたことがうれしかったから」
A君10	「なんだよそれ、へんなやつー」
