ロボット1	ねぇA君。
A君1	なぁに？
ロボット2	そろそろゲームやめたほうがいいんじゃないかな？
A君2	今いいところなんだ。
ロボット3	でも君がゲーム始めてからもう３日になるよ。
A君3	だーかーらー！今いいところだからやめられないんだよ！
ロボット4	このまま飲まず食わずでゲームしていたら、それこそ体を壊して大好きなゲーム出来なくなってしまうよ？
A君4	うるさいなぁ、お腹空かないんだからしょうがないだろ！
ロボット5	僕は君が大好きだから、いつまでも元気なA君でいて欲しいんだよ。
A君5	３日くらい食べなくても平気だし、お茶はたまに飲んでるよ！
ロボット6	目の下のクマ酷いじゃないか。
A君6	僕はこれくらい寝なくても平気なんだよ！
ロボット7	A君、お願いだから今日はとりあえずやめよう？
A君7	いいところまで進んだらね！
ロボット8	A君！そう言って何度も一瞬寝てしまってるじゃないか！
A君8	休憩してるんだよ！
ロボット9	A君の体は１つしかないんだ、もっと自分の体を大事にしてよ！
A君9	…わかったよ。
ロボット10	わかってくれてありがとう！僕今から美味しいご飯作るね！
A君10	じゃあハンバーグとフライドポテトが食べたいな！
