ロボット1	そろそろゲームをやめましょう。
A君1	嫌だ。今いいところなのに。
ロボット2	ゲームは１日、1時間の約束ですよ。
A君2	あと、10分。
ロボット3	さぁ、10分経ちました。
A君3	あと、10分。
ロボット4	いい加減にして下さい。どうして約束を守れないのですか？
A君4	うるさいなぁ、あっち行けよ。
ロボット5	酷い。君の為にと思って言っているのに。
A君5	ロボットのくせにうるさいぞ。お前なんていなけらばいいのに。
ロボット6	傷つきました。口うるさくいうのが、私の役目ですが、そうやって相手の存在を否定するのは、ロボットと言えど、悲しいです。
A君6	うるさい。僕はゲームがしたいんだ。
ロボット7	いいんです。私はもう君の側にいることはやめにします。
A君7	うるさいロボットなんてどこかに行ってしまえ。
ロボット8	分かりました。さようなら。データーを初期化します。
A君8	え？そんな事できるの？嘘つくなよ。
ロボット9	データーが初期化されました。初めまして。今日から君の側にいることになりました。今は何をしているんですか？
A君9	ゲームだけど。
ロボット10	そろそろゲームはやめにしましょう。
A君10	分かりました。ごめんなさい。
