ロボット1	A君今どの辺にいますか？
A君1	○○高原だよ！
ロボット2	それでしたら○○高原にセーブポイントはありますか？
A君2	○○高原だからあるにきまってるぢゃん！
ロボット3	そうですね。それではそこでセーブをして明日の準備をしましょう。
A君3	えー！まだゲームやりたいよ！レベルあげしないといけないし！！
ロボット4	宿題まだおわってないですよね？
A君4	ゲーム終わったらやるよ！！
ロボット5	いつも聞いているお話ですね。
A君5	そうだっけ？？
ロボット6	この前のテスト何点でしたか？
A君6	、、、
ロボット7	ゲームをやってもいいんです。でもテストもいい点とったらお母さん好きなゲーム買ってくれるっていってませんでしたか？？
A君7	うん。でもゲームやりたくて いいところだから
ロボット8	では次倒したらセーブして1回やめましょう、宿題をやってそれからまた少しゲームの続きをやったらいいんじゃないでしょうか？
A君8	それ悪くないね！とりあえずボス倒すとこまでやっていい？もうそこにいるから！終わったらセーブする！！
ロボット9	そうですか。その後宿題をちゃんとできますか？？
A君9	うん！そのあとゲームまたしていいんでしょ？
ロボット10	いいですよ。でも寝る前の30分だけです。今日は特別です。
A君10	わーい！ぼく頑張るね！！ロボットありがとう！！
