ロボット1	A君そろそろゲームは止めたほうがいいんじゃない？
A君1	うーん、あともう少しでクリアするから。
ロボット2	じゃあ、今はやってるところまでだよ！
A君2	あー、うーん。
ロボット3	もう、そろそろクリアしたんじゃない？目が悪くなっちゃうよ！宿題も終わってないし！ゲームはもう止めなさい！
A君3	うるさいなぁ！宿題はすぐ終わるから大丈夫だよ！
ロボット4	じゃあ、すぐ終わる宿題から先にしなさい！
A君4	今、やってるところをクリアしたら止めるよ！
ロボット5	さっきもそう言った！
A君5	あーもー、ちょっと黙っててよ！集中力できないじゃん！
ロボット6	前はゲームじゃなくて、僕と遊んでくれたのに…僕のこと嫌いになった？
A君6	嫌いなんて言ってないだろ！
ロボット7	じゃあ何で前みたいに一緒に遊んでくれないの？ゲームばっかりじゃないか。
A君7	ゴメン…ゲームは止めるよ。
ロボット8	途中で止めて良いの？
A君8	良いの！
ロボット9	ありがと！
A君9	別に！ロボットと一緒に遊びたくなっただけだよ！
ロボット10	うん！でも先に宿題を終わらせよう！
A君10	分かったよ！わからない所は教えてね？
ロボット11	もちろん！
