ロボット1	ちょっとゲームを止めて休もうよ。
A君1	やだよ。
ロボット2	もう3時間もやってるよ。
A君2	あとちょっと。
ロボット3	30分前もそう言ってたよ。
A君3	いま友達と一緒にクエストやってるからやめられないんだ。
ロボット4	さっきは違うこと言ってなかった？
A君4	状況は常に変わってるんだよ。
ロボット5	ゲームをやり続けてる状況は変わってないから。
A君5	今日くらいのんびりやらせてよ。
ロボット6	ゲームしてもいいけど、長時間はだめだよ。
A君6	3時間なんて長時間じゃないよ。
ロボット7	本当に？
A君7	ああ、あっという間。
ロボット8	じゃあ、掃除や勉強も3時間じゃ足りないね。
A君8	なんで。
ロボット9	あっという間なんでしょう？
A君9	それとこれとは別。
ロボット10	同じだから。
A君10	唯一のストレス発散なんだ。
ロボット11	ストレス発散方法増やさない？
A君11	他に何があるのさ？
ロボット12	僕としりとりするとか、最近のエンタメネタを話すとか、早押しイントロどん！をやるとか。
A君	何そのつまらなさそうなの。
ロボット13	じゃあ、僕とにらめっこするとか、僕のかっこいいアクセサリーを考えるとか。
A君	いや表情変わらないし、アクセサリーつけても変わらないし。
ロボット14	じゃあ、僕で好きな子へのデートの誘い方練習してもいいよ。
A君	いやそれ罰ゲームみたいなんだけど。
ロボット15	もう何だったらいいんだよ。
A君	だからゲームしたいんだよ。
ロボット16	僕と遊べるゲームを考えてよ。
A君	なんでだよ。
ロボット17	僕はそのために居るんだよ。
A君	そのためって？
ロボット18	君の時間を有意義なものにしたり、より良い生活を一緒に作ったり、僕が楽しん．．．ごほっ。
A君	何か最後おかしくなかった？
ロボット19	つまり、せっかく僕がいるんだから、ちょっとくらい僕との時間を考えてくれてもいいんじゃないかい？
A君	なにそれ彼女みたいなんだけど。
ロボット20	いい予行演習だろ？
A君	面倒くさい彼女はいらない。
ロボット21	いいや違うね。君のその態度が相手を面倒くさくしてるんだよ。
A君	はあ、じゃあもうどうしたらゲームしてもいいんだよ。
ロボット22	とりあえず1時間休憩したら邪魔しないことも考えてみてあげないこともない。
A君	わかったよ。とりあえず一旦は休憩するよ。
