ロボット1	ねぇ、A君人間は同じことばかりするよりたまには違うことをすると良いよねえ。
A君1	うん、そうだね。
ロボット2	じゃあさ、そろそろその何時間にもわたるゲーム三昧を止めないか？
A君2	同じことばかりをするのは良くないものね。
ロボット3	そう！やっと君もわかってくれて僕は嬉しいよ！
A君3	では、違うゲームを始めるとしますか。
ロボット4	そういう意味じゃないだろ！
A君4	どういう意味だよ。
ロボット5	ゲーム自体を止めて、キャッチボールでもしに出かけようよ。
A君5	なぜだかわからないけど疲労感がひどくあるんだよね。
ロボット6	ゲームばかりしてるからだろう！
A君6	あ、そうなの？
ロボット7	根を詰めて画面を見ていれば肩こりもするだろうし、肩こりがひどくなると頭痛や吐き気までもよおす場合もあるんだぞ！
A君7	そうだったのかぁ。でもまだ頭痛まではいってないしな。
ロボット8	じゃあさ、手を止めてゲームを止めて疲労回復に僕の手作りケーキを食べて一休みしたらどうだい？
A君8	え！君はケーキなんか焼けるのかい？
ロボット9	何でも出来るさ。
A君9	僕はフルーツタルトが良いなあ。
ロボット10	じゃあ、タルトにのせるイチゴが足りないから僕が準備してる間にイチゴを買いに行ってきてくれないか？
A君10	了解だよ！ゲームなんか止めだ！
