ロボット1	おい、A君、そろそろゲームを止める時間だぞ。
A君1	えー、何のこと？
ロボット2	ゲームは1日1時間までと約束したじゃないか。
A君2	そうだっけ？
ロボット3	そうだよ、ゲームをし過ぎると目が悪くなってしまうぞ！
A君3	目が悪くなれば眼鏡をかければ良いさ。
ロボット4	A君は賢いねぇ、実に喜ばしいよ。
A君4	僕の賢さがやっとわかったかい。
ロボット5	だけどねA君、目が悪くなれば眼鏡をかければ良いけど、成績が悪くなったらどうするんだい？
A君5	成績が悪く？なんの理由でさ。
ロボット6	ゲームのやり過ぎで学力が低下することもあるんだよ。
A君6	じゃあロボット君はゲームのやり過ぎで学力が低下したんだろう。
ロボット7	何故僕の学力が低下しているなんて思うんだよ！
A君7	だって僕の事すら説得出来ずにいる様な無能じゃないか。
ロボット8	何だと！それはひどいぞ！
A君8	どうひどいんだい。
ロボット9	視力が落ちても、学力が低下してもそれは人としては大丈夫な事さ。
A君9	そうだろうね。
ロボット10	ただ、相手を無能呼ばわりしたり傷つけたりする事まで平気でするように性格が曲がってしまったら、僕はもう悲しくて君と友達ではいられなくなるよ。
A君10	ロボット君、本当にごめんよ。ゲームを止めるから許しておくれよ。
