ロボット1	ゲームをやりすぎてるよ。もうやめよう。
A君1	まだ少ししかしてないよ。
ロボット2	かれこれ４時間くらいしてるよ。やりすぎだよ。
A君2	いいじゃないか。楽しいんだよ。
ロボット3	目に良くないよ。
A君3	お願いだよ。あと少しやらせて。
ロボット4	いつも、あと少しって言っていつまでもやってるじゃないか！
A君4	このゲームは最新ゲームですごく面白いんだ。一緒にやらない？
ロボット5	誰がい一緒にやるもんか！僕はやめるように言ってるんだぞ！
A君5	そんなに怒らないでよ。
ロボット6	ゲームばかりやってたら、本当にダメな人間になるぞ！
A君6	そしたら、明日またこのゲームやってもいい？
ロボット7	そうだね、1時間ならやってもいいよ。そのかわり今日はもうやめるんだ。
A君7	分かった。じゃあ今日はもうやめて、明日１時間やるよ。
ロボット8	時間厳守だからね。
A君8	そうだね。分かったよ。
ロボット9	ゲームは視力を低下させるからね。
A君9	体に悪いんだね。
ロボット10	これからもゲームのやりすぎには気を付けるんだよ。
A君10	そうだね。じゃあゲームのスイッチを切るね。
