ロボット1	A君、ゲームを止める時間ですよ。
A君1	嫌だよ、今良いところなんだから。
ロボット2	お母さんとの約束の時間をとっくに過ぎていますよ、早く止めなさい。
A君2	ここクリアしたら止めるよ。
ロボット3	駄目です！約束は守りなさい。
A君3	良いじゃん、少しくらい。
ロボット4	約束をきちんと守らない人は信用されなくなりますよ。
A君4	良いよ、別に。
ロボット5	それにゲームをやりすぎると目が悪くなります。
A君5	メガネを作ってもらうから良いもん。
ロボット6	忠告を聞かずに約束を破ってゲームをやり続けた人にメガネなんて作ってあげません。
A君6	えー？！
ロボット7	何で約束を守らない人に余分なお金を使わなくちゃいけないんですか。
A君7	ゲームを止めれば目が悪くならないの？
ロボット8	約束の時間を守って遊べば目に負担がかからないですよ。
A君8	そうなの？
ロボット9	はい、それに目が悪くなったらゲームで遊ぶのも漫画を読むのも不便になりますよ。
A君9	分かったよ、もう止めるよ。
ロボット10	本当ですか？
A君10	うん、ごめんなさい。
ロボット11	分かってもらえて嬉しいです！
A君	あっそ。
