ロボット1	ゲームの時間は終わりですよ。
A君1	もう少しだけ。
ロボット2	もう、決められた時間は過ぎていますよ。
A君2	きりの良いところで止めるから。
ロボット3	もう、かなりゲームを続けていますから止めても良いでしょう。
A君3	だから、ここが終わったら止めるから、もう少しだけ。
ロボット4	そこから、明日やれば良いのではないですか。
A君4	あと少しだって、言ってるじゃない。
ロボット5	今日は、家に帰ってからゲームしかしていないですよ。
A君5	これが終わってから。
ロボット6	決められた時間で止められないのなら、明日からゲームをしないようにしてください。
A君6	それは、ひどいよ。
ロボット7	ゲームを始めると止められないのだから、最初からゲームをしなければ良いのですよ。
A君7	やだよ、ゲームはするよ。
ロボット8	止められないじゃないですか。
A君8	きりが良いところで、ちゃんと止めるから。
ロボット9	どこで、きりが良くなるのですか。
A君9	だから、もう少しだってば。
ロボット10	だったら、きりの良いところまで私がデータを進めます。
A君10	それは、止めて。もう、止めるから。
