ロボット1	A君、またご飯残してるよ。
A君1	だってお腹いっぱいだし。
ロボット2	もしかして、お菓子のたべすぎとか?
A君2	えっ…ちがうちがう。今日はお腹いっぱいなだけ。
ロボット3	…それ毎日言ってるよね。
A君3	うーん…そうだったかな?。
ロボット4	ご飯を食べることの大切さを君は本当にわかっていない。お母さんだって君の身体を思ってバランスの取れた食事を用意してるんだよ。お母さんだって悲しむよ。
A君4	なんだよー、うるさいな。
ロボット5	わかってると思うけど…バランスの取れた食事は全て君の健康のためなんだよ？
A君5	知ってるよ。
ロボット6	このままじゃ君の身体はボロボロになっちゃうよ。まぁ、肌はボロボロ身体はブヨブヨ、勉強も運動もできない君は絶対にモテないだろね。
A君6	えっモテないの?
ロボット7	そりゃそうだよ。規則正しい生活もだけど食生活だって大事なんだよ。身体つくりは食事にも気をつけないと。
A君7	それは…若干困るかな。
ロボット8	君の身体をつくる食料だってその食料をつくってくれた人だって、君の健康な身体をつくることができて凄く嬉しいと思うよ。
A君8	そりゃそうだよね。
ロボット9	それよりモテないって言ったことが響いたんじゃない？
A君9	そ…うかな。
ロボット10	でもちゃんと君がご飯を食べようと思えたならそれでいいよ。
A君10	将来のためにも…明日からは食べるようにするよ。
