ロボット1	A君、ご飯を残さず食べようよ！
A君1	えー、これ嫌いなやつなんだよね。やーだ！
ロボット2	僕はA君の事を心配して言ってるんだよ…。
A君2	え？何を心配してるのさ。
ロボット3	A君、最近はそうやっていつもご飯を残してるじゃないか。
A君3	だって嫌いな物ばかり出てくるからしょうがないじゃん。
ロボット4	僕はご飯を残す事が心配って言ってるんじゃないんだよ…。
A君4	それはどういうこと？
ロボット5	そうやって嫌いな物を避け続けているA君の事が心配なんだ！
A君5	えっと…どういう意味？
ロボット6	世の中には嫌いでも避けては通れない事は沢山ある。それが人生なんだよ！
A君6	人生…？
ロボット7	いつまでたってもそんな調子で嫌いな物を避け続けていると、これからの人生で大きな障害が訪れた時に、A君が負けてしまうのではないかと心配だよ！
A君7	ええー！飛躍しちゃってるなー！
ロボット8	飛躍じゃない！僕は本気だよ！僕は悲しいよ！
A君8	ロボットにここまで人生を語られるなんて…。
ロボット9	ロボットだってバカにしたな！こう見えても、僕は沢山の人の努力の積み重ねのお陰でこうやって君の前に立っている。それだけ色々な人の人生を見てきたんだ！
A君9	分かった分かった！僕が悪かったよ。謝るよ。
ロボット10	じゃあ、残さず食べてくれるかい？
A君10	…うん。分かったよ。食べるよ。
