ロボット1	まだ食事が残っているけど全部食べなきゃ。
A君1	もう食べたくないよ。
ロボット2	それはすごく体にいい食べ物なんだよ。
A君2	でも苦手なんだ。
ロボット3	好きなものだけ食べていると健康に良くないよ。
A君3	嫌いなものを無理に食べたら気分が悪くなってしまうよ。
ロボット4	けど自分が食べたいものだけ食べるというのはおかしい事だと思う。
A君4	食事はいい気分で終わらせたいんだけど。
ロボット5	だったら次からは先に嫌いなものを食べてしまえばいい。
A君5	そういえばいつも先に好きなものから手を付けている気がする。
ロボット6	好きなものを最後に食べるといい気分で食事を終わらせることが出来るよ。
A君6	でも好きなものを食べる時にはお腹がいっぱいになっているかもしれない。
ロボット7	慌てずにゆっくり食べればいいんだから大丈夫じゃないかな。
A君7	そうだといいけど。
ロボット8	取り合えずこの食事はちゃんと残さず食べようよ。
A君8	箸が進まないなぁ。
ロボット9	これからも元気に食事をする為には大事な栄養だよ。
A君9	そう思えば全部残さず食べることが出来るかも。
ロボット10	君なら実行できると信じているよ。
A君10	これを機に嫌いなものを克服できるといいな。
