ロボット1	A君今日もちゃんとご飯を残さないで食べないとだめだよ。
A君1	だってこれ僕嫌いだもん。
ロボット2	ダメダメ。好き嫌いしてると大きくなれないんだよ。
A君2	そんなこと言われても嫌いなものは嫌いなんだよ。
ロボット3	わがまま言ってないで残さず食べて！
A君3	嫌だよー。
ロボット4	作った人だってA君にきちんと食べてもらいたいはずだよ？
A君4	そんなこと君にわかるわけないじゃないか。
ロボット5	もう、なんでそんなにいうこと聞いてくれないんだよ！
A君5	だって本当に苦手なんだもん。
ロボット6	食べてみれば意外とおいしいかもしれないよ？
A君6	そんなことあるわけないよ。
ロボット7	一回試してみてよ、ほらA鼻をつまんで食べてみると食べれるかもしれないし。
A君7	なんでそんなにしつこいのかなぁ。
ロボット8	それは僕がA君のことが大好きだからだよ。
A君8	本当？
ロボット9	本当だよ、A君が残さずしっかり食べてくれて大きく育ってくれたら僕はすごくうれしいな。
A君9	じゃあ今日は頑張ってみるよ。
ロボット10	ありがとうA君！僕うれしいよ！
A君10	じゃあいただきます。
