ロボット1	A君、ごはんとおかずがまだ残っているよ。
A君1	でも僕はもうお腹いっぱいで食べられないんだ。
ロボット2	残っているごはんが50グラム、おかずは80グラムもあるよ。
A君2	そんなこと言われたって無理なものは無理。
ロボット3	この量はお金に換算した場合、約50円分になるよ。
A君3	たいしたことないじゃないか。
ロボット4	この量を毎回残していると１日150円分、1週間で1050円になるよ。
A君4	別にたいした金額じゃないよ。
ロボット5	このままで続けば一年で60000円近い損失になるよ。
A君5	それはちょっと。
ロボット6	今の君の年収から考えても決して無視できない数字だね。
A君6	確かに。
ロボット7	僕はこのまま無駄な損失が君の生活に悪影響を及ぼし、君が破綻していく姿を見るのは悲しいよ。
A君7	いや、それは僕も困るよ。
ロボット8	このまま食事による損失を招くよりは自分のお腹にいれて栄養に変えたほうが現実的だと思わないか？
A君8	うーん。
ロボット9	無駄な損失を重ねていって僕を養うお金がなくなればお別れだ。
A君9	それはいやだな。
ロボット10	僕も悲しいよ。
A君10	わかった、無駄にしないで食べることにするよ。
