ロボット1	A君、ご飯は残さずに全て食べて下さい。
A君1	もうお腹いっぱいだし、野菜嫌いだから食べたくないな。
ロボット2	健康的な生活をする為にも好き嫌いは良くありませんよ。
A君2	確かにそうかもしれないけどさ、明日からちゃんと食べるから今日は大目にみてよ。
ロボット3	ダメです！そんな事言って、結局いつも残すじゃないですか！
A君3	うるさいなあ、そんな言い方しなくても良いだろ。
ロボット4	私はA君の体の事を思って、バランスの良い食生活を一生懸命提案しているのに、分かってもらえないなんて悲しいです。
A君4	僕の事を心配してくれるのは嬉しいよ、でも本当に今日は野菜の気分じゃないんだよ。
ロボット5	気分の問題ではなく、健康の為にも残さず食べてほしいと言っているのです。
A君5	食べなきゃダメ？
ロボット6	はい。残さず食べるまで絶対に食卓から離しませんよ。
A君6	 もう！わかったよ、食べれば良いんでしょ。
ロボット7	私の熱い思いをわかってくれて嬉しいです。
A君7	ずっと食卓にいるのは嫌だからね。
ロボット8	A君の為を思っての事なのに、そんな言い方されると悲しくなってしまいます。
A君8	ごめんよ。それに、この野菜料理一口食べたら意外と美味しくて、僕でも残さず食べられそうだよ。
ロボット9	本当ですか？私が一生懸命メニューを考えたんですよ。
A君9	そうだったんだ。ありがとう。
ロボット10	美味しいと言ってもらえただけで、私は十分幸せです。
A君10	よし、これで完食だね。ごちそうさま。
