ロボット1	Ａ君、おかずのお皿に野菜が残っていますね。このままじゃ冷めてしまいますよ。
A君1	うん・・・、ぼくきのこ好きじゃないんだよね。
ロボット2	出された食事はきちんと食べることが大切ですよ。
A君	わかっているけどさ、噛んだ時ににおいが口に広がるのがきらい・・・
ロボット3	きのこはこの香りも一緒に楽しむ食材なんですよ。
A君3	ロボット１に香りなんて感じないでしょきらいなものを簡単に食べろって言わないでよ。
ロボット4	残念ながら、確かに私は香りを感じられません・・・少しでも喜んで食べてもらいたくて、きのこの良さをお伝えしたんです。
A君4	それじゃあさ、僕が食べてみようかなって思えるようなことをもっと教えてよ。
ロボット5	困りましたね・・・うーーん（情報検索中）
A君5	早く教えてくれなきゃ、どんどん冷めておいしくなくなっちゃうよ。
ロボット6	・・少しお待ちください。
A君6	まだかなまだかな〜〜〜
ロボット7	きのこには食物繊維、ビタミンＢ類、ビタミンＤ2、ミネラルなどの栄養素を豊富に含んだ低カロリー食品といえます。日本食品成分表によると、乾シイタケの食物繊維の含有率は４０％強で・・・
A君7	ちょっと説明が長くてよくわかんないんだけど・・・
ロボット8	辛抱強く聞く効能がきのこに含まれているといいんですけど。
A君8	え、今馬鹿にしてない？
ロボット9	いえいえ、とんでもないですよ・・。それではこれではどうでしょう。きのこにはカルシウムの吸収をうながす効能があるようです。カルシウム豊富な食品と一緒にたくさん摂取して、身長が伸びまくったら女子にモテモテになれますよ。
A君9	え、まじで！？
ロボット10	ええマジですとも。それできのこを召し上がる気持ちになったみたいですね。嬉しいです！
A君10	うんうん、食べるよ！！カルシウムのたっくさん入った食べ物も持ってきてよ！
