ロボット1	あれ？こんなに残しちゃったの？
A君1	僕はね、ピーマンは嫌いなんだ。
ロボット2	でもこの横にあるサラダにはピーマン入ってないじゃない
A君2	駄目、駄目、横にあるからピーマンの匂いがついちゃってるんだよ！
ロボット3	あらら…匂いからして駄目なんだね
A君3	匂いも！口に入った時の感触も！全部だよ！
ロボット4	それは悲しいな。ピーマンて体にいいんだよ。
A君4	いやいや、体によくたって好きになれないよ！
ロボット5	君のためを思って行ってるんだよ！
A君5	そんな心配結構だよ！
ロボット6	全く！君は本当にわがままだな！好き嫌いするなんて贅沢だよ！
A君6	贅沢？
ロボット7	そう！！君は贅沢だ。もし戦争時代に君みたいな子がいたら早々と餓死して死んでいただろうね。
A君7	う…今は戦時中じゃないよ。
ロボット8	いいや！戦時中と似たようなものさ！君の場合は食べたいものだけ食べてるけどね！
A君8	だって…
ロボット9	それに今は環境が違うんだよ！土も水も空気も昔ほど綺麗じゃない！
A君9	それは…確かに
ロボット10	野菜そのもに入っている栄養素だって昔に比べたらだいぶ低いんだよ
A君10	そうなのか。
ロボット11	色々な野菜を食べたって栄養素に限りがあるのに好き嫌いしてたらさらに栄養が足りなくなっちゃうよ！
