ロボット1	あれ？まだ食べ終わっていませんよ？
A君1	あー、もうお腹いっぱいで。
ロボット2	ダメですよ！食べ残すなんて！この地球上には飢餓で死んでいく人が何万人いると思ってるんですか！
A君2	そんなこと言われても・・・
ロボット3	食べたくても食べられない人がいるんですよ。なんて自分勝手な、ううう。
A君3	困ったな〜、泣くなよロボットが。
ロボット4	あと少しで完食なんですから、頑張りましょうよ！
A君4	でもお腹いっぱいなんだよ
ロボット5	いつもと同じ量だと思うのですが、どこか具合でも悪いのでは？
A君5	あー、実はさっきお菓子食べちゃったんだよね
ロボット6	なんですってーーーー！！！！！
A君6	ひーーーー、ごめんなさい！
ロボット7	いつも好きな時に好きなだけ食べられると思っているから、そんなことするんですよね。
A君7	いやー、でもまあいいじゃん
ロボット8	じゃあもう勝手にしてください。
A君8	あ、ああ、そうさせてもらうよ
ロボット9	今度○○ちゃんが遊びに来たら、あなたの非道を暴露しますからね！
A君9	そんな大袈裟な・・・
ロボット10	それがいやなら、とっとと食べなさーい！
A君10	わ、わかったよ
