ロボット1	A君、残さないで、全部食べよう？
A君1	うるせー、嫌いなんだよ
ロボット2	まだ、成長期なんだから、たくさん色んな物を食べないと大きくならないよ！
A君2	うるせえ！豆の1個や2個残したくらいで、人生困らないんだよ！
ロボット3	そんなこと言うんだ
A君3	なんだよ
ロボット4	ワタシは、食べれないのに。
A君4	！ だってお前、ロボットじゃん！
ロボット5	A君は、食べれるのに。ワタシは、食べたくても食べれないのに。
A君5	え、何。お前食べたいの？
ロボット6	はい。なので、食べたいワタシに変わって食べて、感想をください。
A君6	え、嫌だ。
ロボット7	感想をください！ワタシは、食べれないので！
A君7	１個だけなら。
ロボット8	はい！ありがとうございます！A君、優しい！
A君8	調子良いな、お前。うっ、ほら食べた！食べたぞ！
ロボット9	感想は？
A君9	不味い。
ロボット10	１粒だけで、本当に不味さがわかるんですか？
A君10	あの、臭いとか、食べた感じが嫌だ
ロボット11	臭いと食べた感じがよければ食べますか？
A君11	まあ。
ロボット12	お母さんに言っておきますね！
A君12	え？なんで？
ロボット13	調理法を変えてもらいます！あっ、A君！一粒食べれたんだから後少し食べれますよね！
A君13	何でだよ！
ロボット14	食べれないんですか？男の子なのに？
A君14	関係ないだろ！
ロボット15	カッコ悪いよ！A君。ワタシ、カッコいいA君見たいなー。嫌いなものあっという間に食べたら超カッコいいなー。
A君15	本当に？
ロボット16	ロボット嘘つかない。
A君16	食べる。
