ロボット1	どこか具合でも悪いのですか？まだご飯が残っていますよ。
A君1	もういらない、お腹いっぱいだもん。
ロボット2	色々なものをたくさん食べた方が体にはいいですから残さず食べて下さい。
A君2	テレビ観たいし、ゲームしたいしごはんはもういらない。
ロボット3	もう少しで食べ終わりますから、食べ終わってからテレビやゲームをして下さい。
A君3	うるさいな、もう食べたくないんだよ。
ロボット4	せっかく君の身体の事思って言っているのに何で言う事聞いてくれないの？
A君4	だってもう食べたくないんだもん。
ロボット5	食べてくれて君が元気になってくれたら嬉しいんだけど。
A君5	食べなくても元気だし大丈夫だよ。
ロボット6	どうしてそんな困らせるような事を言うの！
A君6	ひつこいんだ。いらないって言ったらいらない。
ロボット7	お願い、もうちょっとだけだから食べて欲しいな。
A君7	うるさい！本当にひつこいぞ。
ロボット8	せっかく一緒に食べてるのに全部食べてくれなかったら悲しいな。
A君8	お前は食べてないじゃないか？！
ロボット9	だってロボットだもん、仕方ないじゃない。
A君9	それもそうだね、でももうごちそうさま。
ロボット10	もう！あと少しじゃないか、どうして食べられないんだ！
A君10	そう怒るなよ、分かったよ。食べるよ。
