ロボット1	ご飯は残さずに食べてください。
A君1	どうして？好きじゃないものは食べたくないよ。
ロボット2	でも、とても体に良いものなんですよ。
A君2	美味しくないからイヤだ。
ロボット3	食べてもいないのにどうして美味しくないとわかるのですか？
A君3	見た目が美味しくなさそう。
ロボット4	食べてみると案外、美味しいかもしれませんよ。
A君4	君はロボットだろ。食べられないくせにどうして美味しいかもしれないなんて言うんだ。だって君には味が理解できないじゃないか。
ロボット5	そうです。ワタシには味がわかりません。
A君5	だったら、何も言わないでよ。
ロボット6	ワタシには味がわからない。だから、A君が羨ましいです。
A君6	僕が羨ましいだって？
ロボット7	ワタシだって、ご飯を食べてみたい。そうして、ご飯を味わってみたい。
A君7	でも、美味しくないものもあるよ。
ロボット8	それでもいいんです。もし味わうことができれば、A君と、これは美味しいね。これは美味しくないね。そんな風に話をすることができるのに。
A君8	君は、そんな事を考えていたんだね。
ロボット9	はい。だから、そういう会話ができなくてワタシはとても悲しいです。
A君9	わかったよ。僕、これを全部食べるよ。そして君に、美味しいか美味しくないか話してあげるよ。
ロボット10	ほんとうですか。それは、とてもとても嬉しいです。
A君10	それじゃあ、僕はこれからは何でも食べることにするよ。
