ロボット1	ご飯残さず食べれたかな？
A君1	まだ、野菜が残ってる。
ロボット2	野菜も食べたら美味しいよ。残さず食べよう。
A君2	え〜。美味しくないよ。
ロボット3	栄養もあって、食べたら元気になるよ。
A君3	嫌いだもん。食べない。
ロボット4	食べないなんて言ったら、野菜がかわいそうだよ。
A君4	そうかな。でも、好きじゃないから食べない。
ロボット5	野菜が泣いちゃうよ。僕も泣いちゃうよ。
A君5	え〜。泣かないでよ。
ロボット6	ほら、野菜が食べてほしいって言うのが僕には聞こえるよ。
A君6	本当？聞こえないよ。
ロボット7	だって僕、ロボットだから野菜の気持ちもわかるんだ。
A君7	ロボットってすごいね。
ロボット8	それに、Ａ君に食べてもらわなかったらせっかく大きく育った野菜がかわいそうだよ。
A君8	どうして？
ロボット9	Ａ君がが野菜を食べて大きく元気になるようにって、野菜も大きくなったんだから食べないと。
A君9	へえ〜。
ロボット10	それにＡ君が野菜を食べてくれたら、野菜たちはとっても嬉しいと思うよ。
A君10	本当？そしたら頑張って食べてみようかな。
ロボット1１	そうだよ。食べよう！野菜食べたらＡ君も大きくなるね。
A君1１	うん。たくさん食べて大きくなる。
