ロボット1	ピーマンと人参が残っているよ。残さず食べなきゃ。
A君1	嫌だよ、嫌いだもん。
ロボット2	嫌いなものでも頑張って食べないと。
A君2	だって美味しくないもん。
ロボット3	世界中には食べたくても食べられない人がいるんだよ。恵まれているんだからありがたく頂かなきゃ。
A君3	そんなの僕には関係ないよ。
ロボット4	同じ人間なんだよ。関係ないわけないでしょ。飢えで死んじゃう人だってたくさんいるんだから。
A君4	そうなんだ…。
ロボット5	それにね、ピーマンだって人参だって毎日お世話をしてもらって育っているんだよ。作ってくれる人は雨の日も暑い日も寒い日も休まず育ててくれて僕たちの元にくるんだ。作ってくれている人達にも感謝しなきゃ。
A君5	僕は自分のことしか考えていなかった。
ロボット6	自分のことを考えているのならなおさら食べなくちゃ。
A君6	どうして?
ロボット7	何でも食べないと大きくなれないよ?
A君7	そっか。
ロボット8	嫌いなピーマンや人参もだけどお肉や魚もバランス食べることが大事なんだ。
A君8	僕大きくなりたい！
ロボット9	だったら好き嫌いせず何でも食べなくちゃ。僕はAくんがうらやましいよ。
A君9	僕が?
ロボット10	だってロボットは食べ物を食べられないし、大きくなることもできないよ。
A君10	僕頑張って何でも食べるよ。ロボットの分まで食べて大きくなる！
