ロボット1	A君、まだお野菜が残っていますよ？
A君1	えー。別に食べなくても生きていけるじゃん。
ロボット2	残さずに食べてこその男です！
A君2	そもそもご飯も食べないで味も知らないロボットに言われたくないね。
ロボット3	非常に悲しいです！
A君3	なんだよ...
ロボット4	A君はとても恵まれているのですよ！！
A君4	知ったこっちゃねーよ。
ロボット5	私も一度で良いから温かいご飯を食べてみたいです！
A君5	そうなのか？
ロボット6	美味しいね。と料理の美味しさを分かち合いたいです！
A君6	ふーん。
ロボット7	けれども私は...私は...ロボットなので、ご飯を食べる事すら出来ません。
A君7	あぁ...なんかごめん。
ロボット8	なので、嫌いなものを食べたくないという気持ちも理解出来ないまま、こんな事を申し上げるのも何かと思いますが、私はA君が羨ましいのです。
A君8	ちょっと言いすぎたよな、ごめん。
ロボット9	私こそ感情的になってしまいました。ごめんなさい。ひとつお願いをしても良いですか？
A君9	何？
ロボット10	これからご飯の時間には、私にお母様お手製のお料理の味を教えてください！食べられなくても、料理の味、食事の楽しみを共用したいのです！
A君10	ちょっと面倒くさいけど...そこまで言うならいいよ。
ロボット11	やったー！約束ですよ！嫌いな食べ物も含め全部、ですよ！
A君11	...そういう事かぁ！！わかったよ...
ロボット12	楽しみです♪
