ロボット1	A君、ご飯は残さずに食べて下さいね。
A君1	もういらない。
ロボット2	ちゃんと食べないと大きくなれませんよ。
A君2	良いもん、大きくなれなくても。
ロボット3	せっかくお母さんが一生懸命作ってくれた料理なのに申し訳ないと思わないんですか？
A君3	別に。
ロボット4	じゃあ明日からA君が全部ご飯の準備をしたら良いですよ。
A君4	嫌だよ、何でだよ。
ロボット5	毎日ご飯を作ってもらっているのに感謝もせず、ありがたみも分からないお馬鹿さんなのだから当然でしょう。
A君5	面倒くさいよ、料理なんて出来ないよ。
ロボット6	お母さんは面倒がらず毎日A君のために、栄養バランスを考えてご飯を作っているのですよ。
A君6	そっか。
ロボット7	もしA君が一生懸命作ったご飯を残されたら悲しくないですか？
A君7	悲しい。
ロボット8	お母さんも同じ気持ちになりますよ。
A君8	そうだよね。
ロボット9	それにご飯を全部食べたら栄養もしっかり摂れるので背も大きくなりますよ。
A君9	分かった、残りも全部食べようっと。
ロボット10	分かってもらえて良かった、お母さんも喜びますよ。
A君10	うん、いただきます。
