ロボット1	もう寝る時間はとっくに過ぎてますよ、早く寝てください。
A君1	嫌だ、まだ眠たくない。
ロボット2	電気を消して目を閉じれば自然と眠くなりますよ、今すぐベッドに入りなさい。
A君2	ちょっとくらい夜更かししても全然平気だよ。
ロボット3	平気じゃありません、明日の朝眠くて辛いですよ。
A君3	大丈夫だよ。
ロボット4	それに睡眠不足になると成長ホルモンがきちんと分泌されないので、大きくなれませんよ。
A君4	そうなの？
ロボット5	はい、さらに集中力もなくなるので授業中に先生にあてられても答えられず、恥をかくかもしれません。
A君5	それはちょっと嫌だな…。
ロボット6	テストでも間違いばかりして悪い点をとるかもしれないですよ。
A君6	悪い点をとったら怒られるよね？
ロボット7	仕方ないですね、私の忠告をきかないのだから。
A君7	はやく寝れば大丈夫なの？
ロボット8	十分な睡眠をとれば頭がすっきりして集中力も増しますよ。
A君8	分かったよ。
ロボット9	分かってくれたのですね、嬉しいです。
A君9	うん、ちゃんと寝るよ。
ロボット10	では、おやすみなさい。
A君10	おやすみー。
