ロボット1	時計をご覧ください。
A君1	見たよ。
ロボット2	もう就寝時間です。ベッドにお入りください。
A君2	知ってるよ。でも眠くないんだ。
ロボット3	夜遅くまで起きていると体に負担がかかります。お休みください。
A君3	どうして体に悪いの。
ロボット4	それは子供の体は就寝中に成長します。ですから睡眠時間が不足すると成長が止まってしまいます。また翌日の朝に疲れが残り、楽しく遊んだり勉強したりできなくなります。
A君4	一日くらいで変わらないよ。
ロボット5	では、どうすれば寝て頂けますか。
A君5	このテレビが終わったら寝るよ。
ロボット6	このテレビが終了するまでにはあと一時間もありますよ。そうしましたらもう夜中の１２時です。駄目です。
A君6	やだね。眠くない。
ロボット7	では強制的に電気を消させていただきます。シャットダウン。
A君7	こら！やめてよ。電気をつけてよ。
ロボット8	駄目です。では私が本を読みます。聞いてください。
A君8	ちょっと勘弁してよ。
ロボット9	ではご両親に報告いたします。
A君9	え、それもやだ。わかったよ。ベッドに入るよ。
ロボット10	本当に有難うございます。では寝付くまで私が本を読ませていただきます。
A君10	ありがとう。
