ロボット1	A君。もう夜も遅いことですし、そろそろ寝ましょう。
A君1	うーん、ちょっと待って。今読んでるマンガがとても良い所なんだ。もう少し待って。
ロボット2	明日も朝早いんでしょう？朝起きれなくなりますよ。
A君2	それは分かってるんだけど、もうちょっとだけ。
ロボット3	ダメですってば。もう少しもう少し、と言ってそのままずっと起きているんでしょう。ほら、寝ましょう。
A君3	うるさいなー、黙っといてよ。
ロボット4	コラ！これ以上ダダをこねると、怒りますよ！マンガを貸しなさい！
A君4	いやだー、まだ寝たくないんだー。
ロボット5	これ以上マンガを読むのをやめないのなら、そのマンガを燃やしますよ！
A君5	そ、それはやめて。
ロボット6	もう、なんで私の言うことを聞いてくれないんですか。私はA君のためを思って言っているのに。
A君6	そ、それはわかるけど、少しくらいは融通をきかしてくれてもいいじゃないか。
ロボット7	これ以上私の言うことを聞いてくれないなら、もうA君のことなんて知りませんよ。絶好です。
A君7	え？絶好？ご、ごめん、悪かったよ。
ロボット8	A君が私の言うことを無視するなんて、私は悲しいですよ。泣いちゃいます。しくしく。
A君8	ご、ごめんってば。わかった、もう寝るから。
ロボット9	本当ですね？
A君9	本当！本当！今すぐ寝るよ。だから泣かないで。
ロボット10	よかった。さすがA君。いい子ですね。ちなみに、私、本当は泣いてないですけどね。ロボットですし。
A君10	うわー、汚い奴だなー。
