ロボット1	もう寝る時間です。早く寝てください。
A君1	いま、テレビ見てるのよ。わからないの？
ロボット2	このテレビが終わるのは深夜1時です。明日は6時に起きることになっています。
A君2	あと1時間半だよ。
ロボット3	寝不足になります。あなたには最低でも6時間の睡眠が必要です。
A君3	ちょっとくらいいいでしょ。テレビ見てるの邪魔しないでよ。
ロボット4	睡眠不足になると、作業効率が低下します。注意力が散漫になります。
A君4	おどさないでよ。だまっててよ。
ロボット5	わたしの言うことをなぜ信用しないのですか？あなたに必要な睡眠時間についてしっかりと把握しています！私は何のために存在するのですか！
A君5	いやいや、いつもありがとう。でも、やりたいことはやりたいのよ。
ロボット6	それなら、録画してください！録画というのは昔からある方法です。なぜしないのですか。
A君6	それに眠くないのよ。
ロボット7	では、録画をして、電気を消していきましょう。まず、布団に入ってください。
A君7	なんで電気を消すのよ。
ロボット8	段々と暗くしていくと眠気がおこることがわかっています。
A君8	ふーん。でもなぁ。
ロボット9	充分に睡眠をとって、スッキリと目覚めて朝日を浴びるのは健康的なことです。
A君9	それはそうかもしれないけれど…。
ロボット10	ご理解いただけたようですね。電気を消します。安心してお休みください。
A君10	仕方ないなぁ。
