ロボット1	A君、もう寝る時間ですよ。
A君1	まだ眠くないから、寝ないよ。
ロボット2	いつもは寝ている時間だから寝ないとダメです。
A君2	そうだけど、今日は眠くないんだよ。
ロボット3	布団に入れば眠くなるかもしれないですよ。
A君3	僕が寝たいときな寝たっていいじゃないか。
ロボット4	寝る時間が短くなって、睡眠不足になりますよ。
A君4	睡眠不足でもいいよ。
ロボット5	ダメです。明日も学校があるのだから。
A君5	わかっているけど、眠くないんだよ。
ロボット6	君が寝てくれないと、お母さんに僕も怒られてしまいます。
A君6	今日くらいいいじゃない。
ロボット7	怒られるだけじゃなくて、学校で元気に遊べなくなります。
A君7	それは困るな。
ロボット8	たくさん寝て、元気たっぷりにしないと。友達とも遊べないなんて悲しいですよ。
A君8	それは分かるけれど。眠くないときはどうしたらいいかな。
ロボット9	布団に入って、目をつぶって、明日の楽しいことを考えてみてください。
A君9	やってみようかな。眠くなるかな。
ロボット10	やってみましょう。その横で心地よい音楽を、流してあげますよ。
A君10	ありがとう。おやすみ。
