ロボット1	もう寝る時間はとっくに過ぎていますよ。まだ寝ないのですか。
A君1	まだ眠くないもーん。
ロボット2	寝ると言う事はですね、君が大きくなるために必要な事なのですよ。寝る子は育つという言葉を知らないのですか？
A君2	しーらない。まだ、まだ、寝ないよ〜だ。
ロボット3	明日の朝、また起きられなくて困りますよ。今日だって遅刻ぎりぎりで飛び出したので、忘れものをしたじゃありませんか
A君3	あ、そう！なんで持たしてくれないんだよ!!ちゃんとしろよ。
ロボット4	私はちゃんと準備するように言いました。入れなかったのは君じゃありませんか？
A君4	全部準備してくれればいいじゃんか、ロボットなんだからさ！
ロボット5	それでは君のためになりません。私はお手伝いロボットではないのですから。君の生活を改善するために作られたロボットなのですから。
A君5	なんだよ、つかえねーなー
ロボット6	そんな・・・そんな言い方ってないじゃありませんか？もう、毎日、1日の終わりがこんなんじゃ、私・・・嫌です。
A君6	何が嫌なんだよ。ロボットのくせに
ロボット7	ロボットですが、君のロボットです。君とケンカするのは悲しいです。
A君7	もう、めんどくさいな〜。悪かったよ。ごめんね。ね、ね。
ロボット8	じゃあ、もう寝ましょ。
A君8	わかった。寝るよ。寝る。寝ればいいんだろ？
ロボット9	ほんとうですか？分かってもらえて私うれしいです。
A君9	そうか、そうか、よかったな〜。明日からも　また、頼むよ。
ロボット10	はい。了解しました。では、おやすみなさい。
A君10	はい、はい。おやすみ〜
