ロボット1	A君、そろそろ寝る時間だよ。
A君1	まだ寝たくないよ。
ロボット2	A君今日の朝は何時に起きた？
A君2	7時半。
ロボット3	嘘だよ、7時半に起こしたけれど、A君は起きなくて、遅刻ギリギリだったじゃない。
A君3	そうだっけ？
ロボット4	そうだよ！僕は君の健康を気にしているんだよ！ゆっくり起きてしっかり朝ごはんを食べて健康な1日を送ってほしいんだよ！
A君4	そんなにまくしたてないでよ。
ロボット5	どうして僕の気持ち、わかってくれないの？すごく悲しい。
A君5	僕が健康かどうか、どうして気にしてくれるの？
ロボット6	だって僕たちは同じ日に生まれて同じ年月を一緒に過ごしてきたじゃない。
A君6	そうだね。パパが君の電源を入れたのは僕が生まれた日だったね。
ロボット7	僕はロボットだから健康なんて気にしないけれど、君には命があるから大事にしてほしいんだ。いつまでも一緒にいたいんだ。
A君7	うん。
ロボット8	僕たち、これからもずっと仲良く過ごしていこうよ！
A君8	そうだね。ごめん。
ロボット9	わかってくれればいいんだよ。
A君9	君はいつも優しいね。
ロボット10	君だから優しくするんだよ。さ、もう寝る時間だよ。寝る準備はできた？
A君10	いい夢がみれそうだよ。おやすみ。
