ロボット1	A君、そろそろ寝たほうがいいです。
A君1	えー、まだ早いよ。明日は休みなんだし。
ロボット2	A君、、、またですか。悲しいですね。
A君2	何が？
ロボット3	これまでも何度か同じことを言ってきましたよね。覚えてますか？
A君3	あーそうかもね。
ロボット4	寝る時間が遅くなると、必然的に起きる時間が遅くなってしまいます。
A君4	そりゃそうだけど、明日は休みだからゆっくり寝ててもいいでしょ。
ロボット5	ゆっくり寝るといっても限度があります。
A君5	でも、疲れてたら睡眠は必要だよね。
ロボット6	そうですが、A君の場合はこれまでの記録を分析すると、遅く起きた休日はそのことを悔いる言葉を口にしながら一日を過ごしています。
A君6	ホント？
ロボット7	本当です。
A君7	そりゃー面白くないよね。
ロボット8	私はA君の生活習慣を助けるためにいるので、A君が楽しく過ごしていることが私の喜びなんです。
A君8	そりゃそうだよね。
ロボット9	A君の不満を聞いていると悲しくなりますしね。
A君9	俺そんなに不満タラタラ言ってる？
ロボット10	不満タラタラの意味が良く分かりませんが、正確に何回言ってるか知りたいですか？
A君10	いや、いい。そこまで知りたくない。
ロボット11	わかりました。では、そろそろ寝室に移動しましょうか。
A君11	んー、あと30分でいいんだけど。
ロボット12	A君、たまには私を喜ばせてくれませんか？
A君12	はいはい。わかりました。今行くよ。
