ロボット1	Ａ、就寝するには丁度いい時間になりましたよ。
A君1	まだ遊び足りないから寝たくないよ。
ロボット2	これ以上起きていてはＡの健康状態によくはありません。
A君2	そんなの少しくらいどうってことないよ。
ロボット3	いけません！そういったことを積み重ねることにより日々の支障をきたすのです！
A君3	毎日同じことばっかりじゃないか！俺の自由だし好き勝手させてくれよ！
ロボット4	それはなりません！私もＡ君の生活改善の為派遣されているので放置することはできません！
A君4	俺は別にそんな管理なんかを頼んだ覚えなんてないね！
ロボット5	確かにＡからは頼まれてはいませんが○○より「Ａの生活改善の以来」を受けた事により私はここにいるのです。
A君5	だからそんなの俺には関係ないっていってるだろ！
ロボット6	それに私も派遣されている身ですが、Ａの体調が心配なのです…派遣されて以来データを取らせていただいていますがこのままでは本当にお体を壊してしまいます…
A君6	まぁ…確かにお前がきてからも変わらず夜更かしばかりしてるからな…
ロボット7	そのとおりでございます。今日でもう夜更かしが１週間を過ぎました。これ以上は私も見過ごせません！
A君7	いつのまにかもう１週間経ってたか…結構早かったな。
ロボット8	なので、今日こそは早めに就寝していただきます！
A君8	まだやりたいことがあるんだけど…
ロボット9	最大音量で子守唄をご所望でございますか？
A君9	わかったわかった！寝るから勘弁してくれ！
ロボット10	わかっていただけて何よりでございます。
A君10	まったく仕方がないな…おやすみ。
ロボット	お休みなさいませＡ。
