ロボット1	A君、もうそろそろ寝た方がいいよ。
A君1	えーまだ平気だよ。
ロボット2	でも寝ないと朝起きるのが大変だし、睡眠時間が短いのは体に良くないよ。
A君2	うるさいなあ。
ロボット3	そんなこと言わないでさ、寝ようよ。
A君3	まだ寝ない。
ロボット4	寝ようよ。
A君4	しつこいな、まだ寝ないって言ってるだろ。
ロボット5	A君、なんで寝ないんだよ。
A君5	なんでって、別に…。
ロボット6	理由もないのに寝ないんだ、僕はA君のことを考えて言っているのに。
A君6	そうかもしれないけど、まだ寝たくないんだよ。
ロボット7	そうか、A君は僕の言うことなんか聞いてくれないんだね、悲しいよ…。
A君7	そんな大げさなことじゃないだろ。
ロボット8	あー悲しいな、僕はこんなにA君のこと考えてるのに、A君は全然僕のことを考えてくれないんだ。
A君8	そんなことないけどさあ…。
ロボット9	だって寝ないんでしょ？
A君9	いや…、まあね…。
ロボット10	ほらね、A君は僕の言うことなんかちっとも考えてくれないんだ。
A君10	そんなこともないけど…。
ロボット11	じゃあ、寝てくれる？
A君11	んー、寝たくないんだけど…。
ロボット12	もしA君が寝てくれるのなら、僕はとても嬉しいよ？
A君12	どうしても寝なくちゃいけない？
ロボット13	うん、寝てくれたら嬉しい。
A君13	分かったよ…、寝るよ。
ロボット14	寝てくれるんだ、良かった！
A君14	本当は寝たくないんだけどね。
ロボット15	僕のために寝てくれるんだね！
A君15	まあ、そうだね。
ロボット16	嬉しいよ！　明日もいっぱい話そうねえ。
A君16	はいはい。
