ロボット1	A君、もうそろそろ寝た方がいいんじゃない？
A君1	え〜、まだ見たいテレビがあるんだよ。
ロボット2	でも明日も早いんだろう？
A君2	そうだけど大丈夫だよ。
ロボット3	大丈夫じゃないだろう。今日も寝坊してたし。
A君3	明日はちゃんと起きるから大丈夫だよ。
ロボット4	また〜、そんなこと言って！いつもそうなんだから。
A君4	いつもじゃないよ。
ロボット5	とにかく、もう寝ないと駄目だから寝なよ。
A君5	嫌だよ。
ロボット6	でも、もう11時過ぎてるんだから、寝なさい！
A君6	え〜、あともうちょっとだから。
ロボット7	あのね、A君。睡眠は成長期の君にとても大切なんだよ。身長、伸ばしたいだろう？
A君7	えつ？身長？どう関係あるの？
ロボット8	夜10時から深夜2時の間は睡眠によって最も多く成長ホルモンが分泌される時間帯なんだよ。
A君8	へっ？そうなの？
ロボット9	そうだよ。だから寝ないと身長も止まってしまうかもしれないし、脳の発達にも影響が出るかもれないんだよ。
A君9	別に他の時間に睡眠をとれば問題ないんじゃないの？
ロボット10	それじゃあ、駄目なんだよ。この時間帯じゃないと意味がないんだ。
A君10	え〜！そうなの？
ロボット1１	そうだよ。だから、もう寝ないと駄目なんだよ。わかる？頭も悪くなりたくないだろう？
A君1１	う、うん。
ロボット1２	だったら、もう早く寝て明日に備えないとね。
A君1２	わかったよ。もう寝るね。おやすみなさい。
